"group","species_name","data_quality","exposure_factor","score","type"
"Rockfish","Sharpchin rockfish",3,"PhT",1,"anomaly"
"Rockfish","Sharpchin rockfish",3,"ZP",1,"anomaly"
"Rockfish","Sharpchin rockfish",3,"BO2",1.95,"anomaly"
"Rockfish","Sharpchin rockfish",3,"MHW",3.27,"anomaly"
"Rockfish","Shortraker rockfish",3,"BT",1.31,"anomaly"
"Rockfish","Shortraker rockfish",3,"BS",1.59,"anomaly"
"Rockfish","Shortraker rockfish",3,"BpH",3.99,"anomaly"
"Rockfish","Shortraker rockfish",3,"PhT",1,"anomaly"
"Rockfish","Shortraker rockfish",3,"ZP",1,"anomaly"
"Rockfish","Shortraker rockfish",3,"BO2",1.85,"anomaly"
"Rockfish","Shortraker rockfish",3,"MHW",3.31,"anomaly"
"Rockfish","Shortspine thornyhead",3,"BT",1.43,"anomaly"
"Rockfish","Shortspine thornyhead",3,"BS",1.46,"anomaly"
"Rockfish","Shortspine thornyhead",3,"BpH",3.99,"anomaly"
"Rockfish","Shortspine thornyhead",3,"PhT",1,"anomaly"
"Rockfish","Shortspine thornyhead",3,"ZP",1,"anomaly"
"Rockfish","Shortspine thornyhead",3,"BO2",1.93,"anomaly"
"Rockfish","Shortspine thornyhead",3,"MHW",3.2,"anomaly"
"Crustacean","Sidestriped shrimp",2,"BT",1.5,"anomaly"
"Crustacean","Sidestriped shrimp",2,"BS",1.46,"anomaly"
"Crustacean","Sidestriped shrimp",2,"BpH",3.99,"anomaly"
"Crustacean","Sidestriped shrimp",2,"PhT",1,"anomaly"
"Crustacean","Sidestriped shrimp",2,"ZP",1,"anomaly"
"Crustacean","Sidestriped shrimp",2,"BO2",1.84,"anomaly"
"Crustacean","Sidestriped shrimp",2,"MHW",3.15,"anomaly"
"Rockfish","Silvergray rockfish",3,"BT",1.44,"anomaly"
"Rockfish","Silvergray rockfish",3,"BS",1.46,"anomaly"
"Rockfish","Silvergray rockfish",3,"BpH",3.99,"anomaly"
"Rockfish","Silvergray rockfish",3,"PhT",1,"anomaly"
"Rockfish","Silvergray rockfish",3,"ZP",1,"anomaly"
"Rockfish","Silvergray rockfish",3,"BO2",1.72,"anomaly"
"Rockfish","Silvergray rockfish",3,"MHW",3.39,"anomaly"
"Salmon","Sockeye salmon",2,"SST",1,"anomaly"
"Salmon","Sockeye salmon",2,"SS",1.42,"anomaly"
"Salmon","Sockeye salmon",2,"SpH",4,"anomaly"
"Salmon","Sockeye salmon",2,"PhT",1,"anomaly"
